,tau?,xMax?,yMin?
769,60,5.03125,6.40625
770,60,5.03125,5.03125
771,60,11.21875,9.84375
772,60,5.03125,8.125
773,60,5.03125,5.03125
774,60,5.71875,12.9375
775,60,5.375,4.6875
776,60,5.03125,4.6875
777,60,5.03125,4.6875
778,60,12.59375,4.6875
779,60,5.03125,4.6875
780,60,5.03125,4.6875
781,60,13.96875,5.71875
782,60,11.90625,9.5
783,60,7.09375,4.6875
784,60,5.375,4.6875
785,60,5.03125,4.6875
786,60,5.375,4.6875
787,60,5.375,4.6875
788,60,10.875,11.5625
789,60,5.375,9.84375
790,60,6.0625,4.6875
791,60,5.03125,4.6875
792,60,5.03125,4.6875
793,60,5.03125,4.6875
794,60,5.03125,4.6875
795,60,5.375,4.6875
796,60,5.03125,4.6875
797,60,11.21875,4.6875
798,60,5.03125,4.6875
799,60,6.0625,9.5
800,60,5.03125,4.6875
801,60,5.03125,4.6875
802,60,5.03125,4.6875
803,60,5.03125,4.6875
804,60,5.71875,4.6875
805,60,5.03125,4.6875
806,60,5.03125,5.03125
807,60,10.1875,4.6875
808,60,5.03125,4.6875
809,60,5.375,4.6875
810,60,6.0625,5.375
811,60,13.96875,4.6875
812,60,5.03125,4.6875
813,60,5.375,4.6875
814,60,11.90625,9.5
815,60,5.03125,9.5
816,60,5.375,10.53125
817,60,5.375,4.6875
818,60,5.375,4.6875
819,60,8.8125,4.6875
820,60,5.03125,4.6875
821,60,5.03125,4.6875
822,60,5.03125,4.6875
823,60,5.03125,4.6875
824,60,5.375,4.6875
825,60,5.375,9.15625
826,60,5.03125,4.6875
827,60,5.03125,4.6875
828,60,5.03125,4.6875
829,60,5.375,4.6875
830,60,5.03125,5.03125
831,60,5.71875,4.6875
832,60,5.03125,4.6875
833,60,5.03125,4.6875
834,60,7.4375,4.6875
835,60,10.53125,10.1875
836,60,5.03125,4.6875
837,60,12.9375,8.8125
838,60,5.375,4.6875
839,60,11.5625,9.84375
840,60,5.03125,4.6875
841,60,11.5625,9.5
842,60,5.03125,4.6875
843,60,5.03125,5.03125
844,60,5.03125,4.6875
845,60,5.03125,4.6875
846,60,5.03125,4.6875
847,60,5.03125,4.6875
848,60,5.03125,4.6875
849,60,5.375,4.6875
850,60,5.03125,4.6875
851,60,5.03125,4.6875
852,60,5.03125,4.6875
853,60,5.375,4.6875
854,60,5.375,4.6875
855,60,5.03125,4.6875
856,60,5.375,4.6875
857,60,5.375,4.6875
858,60,5.71875,4.6875
859,60,12.59375,5.71875
860,60,5.71875,4.6875
861,60,5.03125,4.6875
862,60,5.03125,4.6875
863,60,11.5625,4.6875
864,60,5.03125,4.6875
865,60,10.875,11.5625
866,60,5.03125,4.6875
867,60,5.03125,9.84375
868,60,11.21875,9.84375
869,60,5.375,9.5
870,60,5.375,4.6875
871,60,5.375,4.6875
872,60,5.03125,4.6875
873,60,5.375,4.6875
874,60,5.375,10.1875
875,60,11.21875,9.84375
876,60,5.03125,4.6875
877,60,5.03125,4.6875
878,60,5.03125,4.6875
879,60,5.03125,4.6875
880,60,5.03125,4.6875
881,60,5.375,4.6875
882,60,5.375,4.6875
883,60,11.21875,9.84375
884,60,5.375,4.6875
885,60,5.375,4.6875
886,60,5.03125,4.6875
887,60,5.375,4.6875
888,60,5.03125,4.6875
889,60,5.03125,4.6875
890,60,5.375,4.6875
891,60,5.03125,6.0625
892,60,5.03125,4.6875
893,60,5.375,4.6875
894,60,5.71875,4.6875
895,60,5.03125,4.6875
896,60,5.375,9.15625
897,60,5.71875,4.6875
898,60,10.875,10.1875
899,60,5.375,4.6875
900,60,5.03125,4.6875
901,60,5.375,4.6875
902,60,10.1875,4.6875
903,60,5.375,4.6875
904,60,10.875,10.1875
